chord_ID,chord_HTML,probability,child_path
4,IV,0.646,"1,5,6,4"
5,V,0.10300000000000001,"1,5,6,5"
1,I,0.063,"1,5,6,1"
1,I,0.49,"1,5,4,1"
5,V,0.194,"1,5,4,5"
6,vi,0.158,"1,5,4,6"
5,V,0.396,"1,5,1,5"
4,IV,0.34900000000000003,"1,5,1,4"
4,IV,0.455,"1,5,2,4"
6,vi,0.255,"1,5,2,6"
1,I,0.187,"1,5,2,1"
4,IV,0.467,"1,4,1,4"
5,V,0.302,"1,4,1,5"
6,vi,0.054,"1,4,1,6"
1,I,0.41300000000000003,"1,4,5,1"
6,vi,0.296,"1,4,5,6"
4,IV,0.139,"1,4,5,4"
5,V,0.56,"1,4,6,5"
1,I,0.146,"1,4,6,1"
4,IV,0.122,"1,4,6,4"
5,V,0.435,"1,6,4,5"
1,I,0.376,"1,6,4,1"
4,IV,0.562,"1,6,5,4"
1,I,0.167,"1,6,5,1"
2,ii,0.08700000000000001,"1,6,5,2"
6,vi,0.055,"1,6,5,6"
6,vi,0.519,"1,6,1,6"
4,IV,0.20500000000000002,"1,6,1,4"
5,V,0.092,"1,6,1,5"
3,iii,0.069,"1,6,1,3"
5,V,0.487,"1,6,2,5"
4,IV,0.148,"1,6,2,4"
57,V<sup>7</sup>,0.08700000000000001,"1,6,2,57"
1,I,0.08700000000000001,"1,6,2,1"
4,IV,0.497,"1,6,3,4"
5,V,0.247,"1,6,3,5"
1,I,0.105,"1,6,3,1"
4,IV,0.378,"1,2,6,4"
5,V,0.20500000000000002,"1,2,6,5"
1,I,0.132,"1,2,6,1"
5,V,0.315,"1,2,4,5"
1,I,0.25,"1,2,4,1"
6,vi,0.2,"1,2,4,6"
5/6,V/vi,0.07200000000000001,"1,2,4,5/6"
4,IV,0.635,"1,2,3,4"
1,I,0.109,"1,2,3,1"
6,vi,0.097,"1,2,3,6"
2,ii,0.05,"1,2,3,2"
2,ii,0.522,"1,2,1,2"
5,V,0.11900000000000001,"1,2,1,5"
4,IV,0.084,"1,2,1,4"
3,iii,0.06,"1,2,1,3"
6,vi,0.054,"1,2,1,6"
56,V<sup>6</sup>,0.051000000000000004,"1,2,1,56"
