chord_ID,chord_HTML,probability,child_path
6,vi,0.342,"1,5,6"
4,IV,0.245,"1,5,4"
1,I,0.139,"1,5,1"
2,ii,0.10400000000000001,"1,5,2"
1,I,0.315,"1,4,1"
5,V,0.291,"1,4,5"
6,vi,0.115,"1,4,6"
4,IV,0.309,"1,6,4"
5,V,0.231,"1,6,5"
1,I,0.105,"1,6,1"
2,ii,0.094,"1,6,2"
3,iii,0.082,"1,6,3"
6,vi,0.252,"1,2,6"
4,IV,0.158,"1,2,4"
3,iii,0.154,"1,2,3"
1,I,0.126,"1,2,1"
5,V,0.094,"1,2,5"
16,I<sup>6</sup>,0.052000000000000005,"1,2,16"
5,V,0.44,"4,1,5"
4,IV,0.159,"4,1,4"
6,vi,0.112,"4,1,6"
2,ii,0.05,"4,1,2"
6,vi,0.362,"4,5,6"
1,I,0.28300000000000003,"4,5,1"
4,IV,0.111,"4,5,4"
3,iii,0.068,"4,5,3"
5,V,0.456,"4,6,5"
1,I,0.167,"4,6,1"
4,IV,0.133,"4,6,4"
1,I,0.433,"6,4,1"
5,V,0.313,"6,4,5"
2,ii,0.059000000000000004,"6,4,2"
6,vi,0.052000000000000005,"6,4,6"
4,IV,0.429,"6,5,4"
1,I,0.17,"6,5,1"
6,vi,0.149,"6,5,6"
2,ii,0.062,"6,5,2"
3,iii,0.05,"6,5,3"
5,V,0.306,"6,1,5"
4,IV,0.276,"6,1,4"
6,vi,0.096,"6,1,6"
2,ii,0.094,"6,1,2"
3,iii,0.058,"6,1,3"
5,V,0.276,"6,2,5"
6,vi,0.17500000000000002,"6,2,6"
1,I,0.147,"6,2,1"
4,IV,0.121,"6,2,4"
3,iii,0.07,"6,2,3"
4,IV,0.447,"6,3,4"
6,vi,0.215,"6,3,6"
5,V,0.121,"6,3,5"
2,ii,0.055,"6,3,2"
4,IV,0.352,"5,6,4"
5,V,0.201,"5,6,5"
1,I,0.111,"5,6,1"
3,iii,0.07100000000000001,"5,6,3"
4,IV,0.28,"5,1,4"
5,V,0.192,"5,1,5"
6,vi,0.127,"5,1,6"
2,ii,0.061,"5,1,2"
56,V<sup>6</sup>,0.054,"5,1,56"
1,I,0.303,"5,4,1"
5,V,0.277,"5,4,5"
6,vi,0.128,"5,4,6"
3,iii,0.067,"5,4,3"
4,IV,0.337,"5,2,4"
6,vi,0.211,"5,2,6"
1,I,0.153,"5,2,1"
5,V,0.105,"5,2,5"
3,iii,0.07200000000000001,"5,2,3"
