chord_ID,chord_HTML,probability,child_path
5,V,0.252,"1,5"
4,IV,0.182,"1,4"
6,vi,0.1,"1,6"
2,ii,0.06,"1,2"
56,V<sup>6</sup>,0.048,"1,56"
3,iii,0.038,"1,3"
16,I<sup>6</sup>,0.022,"1,16"
164,I<sup>6</sup><sub>4</sub>,0.021,"1,164"
b7,&#9837;VII,0.021,"1,b7"
464,IV<sup>6</sup><sub>4</sub>,0.016,"1,464"
27,ii<sup>7</sup>,0.015,"1,27"
5/6,V/vi,0.015,"1,5/6"
47,IV<sup>7</sup>,0.013000000000000001,"1,47"
5/5,V/V,0.012,"1,5/5"
364,iii<sup>6</sup><sub>4</sub>,0.012,"1,364"
1,I,0.289,"4,1"
5,V,0.28800000000000003,"4,5"
6,vi,0.096,"4,6"
2,ii,0.048,"4,2"
3,iii,0.044,"4,3"
16,I<sup>6</sup>,0.036000000000000004,"4,16"
5/6,V/vi,0.021,"4,5/6"
47,IV<sup>7</sup>,0.01,"4,47"
27,ii<sup>7</sup>,0.01,"4,27"
4,IV,0.232,"6,4"
5,V,0.202,"6,5"
1,I,0.106,"6,1"
2,ii,0.063,"6,2"
3,iii,0.06,"6,3"
56,V<sup>6</sup>,0.022,"6,56"
47,IV<sup>7</sup>,0.021,"6,47"
664,vi<sup>6</sup><sub>4</sub>,0.02,"6,664"
642,vi<sup>4</sup><sub>2</sub>,0.017,"6,642"
5/6,V/vi,0.017,"6,5/6"
66,vi<sup>6</sup>,0.014,"6,66"
164,I<sup>6</sup><sub>4</sub>,0.014,"6,164"
27,ii<sup>7</sup>,0.013000000000000001,"6,27"
67,vi<sup>7</sup>,0.013000000000000001,"6,67"
36,iii<sup>6</sup>,0.013000000000000001,"6,36"
b7,&#9837;VII,0.01,"6,b7"
16,I<sup>6</sup>,0.01,"6,16"
6,vi,0.26,"5,6"
1,I,0.211,"5,1"
4,IV,0.20500000000000002,"5,4"
2,ii,0.064,"5,2"
3,iii,0.04,"5,3"
67,vi<sup>7</sup>,0.02,"5,67"
27,ii<sup>7</sup>,0.014,"5,27"
47,IV<sup>7</sup>,0.013000000000000001,"5,47"
b7,&#9837;VII,0.011,"5,b7"
57,V<sup>7</sup>,0.01,"5,57"
56,V<sup>6</sup>,0.01,"5,56"
6,vi,0.18,"2,6"
5,V,0.158,"2,5"
4,IV,0.155,"2,4"
1,I,0.129,"2,1"
3,iii,0.088,"2,3"
5/6,V/vi,0.031,"2,5/6"
16,I<sup>6</sup>,0.03,"2,16"
57,V<sup>7</sup>,0.016,"2,57"
27,ii<sup>7</sup>,0.013000000000000001,"2,27"
264,ii<sup>6</sup><sub>4</sub>,0.011,"2,264"
66,vi<sup>6</sup>,0.01,"2,66"
b7,&#9837;VII,0.01,"2,b7"
4,IV,0.326,"3,4"
6,vi,0.264,"3,6"
2,ii,0.081,"3,2"
5,V,0.077,"3,5"
1,I,0.049,"3,1"
47,IV<sup>7</sup>,0.02,"3,47"
67,vi<sup>7</sup>,0.02,"3,67"
27,ii<sup>7</sup>,0.016,"3,27"
